Start;Stop;;;;
9,025;9,05;70;121;62;112
9,0375;9,0625;75;112;60;108
9,05;9,075;79;109;61;110
9,0625;9,0875;81;116;58;114
9,075;9,1;78;113;59;116
9,0875;9,1125;70;123;64;107
9,1;9,125;68;123;69;108
9,1125;9,1375;72;125;68;119
9,125;9,15;75;127;70;135
9,1375;9,1625;82;119;76;144
9,15;9,175;81;121;76;139
9,1625;9,1875;75;139;66;145
9,175;9,2;73;162;50;156
9,1875;9,2125;74;158;57;151
9,2;9,225;71;146;65;142
9,2125;9,2375;70;142;69;146
9,225;9,25;86;154;70;156
9,2375;9,2625;76;162;73;170
9,25;9,275;61;156;70;175
9,2625;9,2875;66;161;75;171
9,275;9,3;65;157;86;182
9,2875;9,3125;79;160;89;175
9,3;9,325;75;163;73;167
9,3125;9,3375;60;152;67;170
9,325;9,35;62;158;74;171
9,3375;9,3625;81;161;75;167
9,35;9,375;81;169;93;171
9,3625;9,3875;77;167;93;184
9,375;9,4;81;160;73;173
9,3875;9,4125;78;170;72;171
9,4;9,425;80;175;88;181
9,4125;9,4375;77;174;99;183
9,425;9,45;72;174;93;179
9,4375;9,4625;79;162;93;177
9,45;9,475;90;165;99;180
9,4625;9,4875;82;167;80;172
9,475;9,5;70;161;87;171
9,4875;9,5125;65;158;89;169
9,5;9,525;78;157;92;177
9,5125;9,5375;67;164;91;186
9,525;9,55;58;163;87;184
9,5375;9,5625;64;158;82;173
9,55;9,575;68;147;76;159
9,5625;9,5875;74;144;88;160
9,575;9,6;74;159;83;161
9,5875;9,6125;72;168;83;161
9,6;9,625;69;162;85;168
9,6125;9,6375;79;150;74;165
9,625;9,65;87;150;55;160
9,6375;9,6625;84;150;49;172
9,65;9,675;84;154;50;174
9,6625;9,6875;81;165;63;162
9,675;9,7;81;165;72;160
9,6875;9,7125;84;159;77;166
9,7;9,725;84;161;76;158
9,7125;9,7375;81;172;55;156
9,725;9,75;61;152;51;169
9,7375;9,7625;62;148;70;173
9,75;9,775;68;150;84;181
9,7625;9,7875;74;154;72;172
9,775;9,8;77;157;61;164
9,7875;9,8125;53;159;69;171
9,8;9,825;61;161;70;181
9,8125;9,8375;66;151;70;190
9,825;9,85;58;160;67;174
9,8375;9,8625;59;161;58;167
9,85;9,875;56;164;59;174
9,8625;9,8875;55;175;71;183
9,875;9,9;48;170;71;176
9,8875;9,9125;58;168;72;170
9,9;9,925;69;159;61;170
9,9125;9,9375;75;148;71;165
9,925;9,95;80;163;87;173
9,9375;9,9625;79;177;70;172
9,95;9,975;71;169;67;179
9,9625;9,9875;57;169;66;184
9,975;10;58;174;64;169
9,9875;10,0125;61;169;65;166
10;10,025;66;163;65;164
10,0125;10,0375;68;154;54;162
10,025;10,05;65;138;52;174
10,0375;10,0625;66;144;70;176
10,05;10,075;61;152;83;179
10,0625;10,0875;66;142;71;186
10,075;10,1;62;144;56;181
10,0875;10,1125;60;154;61;172
10,1;10,125;59;163;56;170
10,1125;10,1375;53;166;64;165
10,125;10,15;60;162;76;164
10,1375;10,1625;64;158;62;168
10,15;10,175;64;178;53;172
10,1625;10,1875;51;166;67;174
10,175;10,2;52;153;73;170
10,1875;10,2125;67;155;58;171
10,2;10,225;87;162;75;189
10,2125;10,2375;101;192;81;188
10,225;10,25;81;181;63;173
10,2375;10,2625;75;162;66;176
10,25;10,275;74;158;66;174
10,2625;10,2875;73;169;60;176
