Start;Stop;;;;
7,65;7,675;46;132;50;124
7,6625;7,6875;41;126;46;127
7,675;7,7;43;129;51;140
7,6875;7,7125;44;116;48;132
7,7;7,725;42;111;54;119
7,7125;7,7375;47;126;57;116
7,725;7,75;51;129;53;119
7,7375;7,7625;34;109;36;103
7,75;7,775;19;80;19;72
7,7625;7,7875;19;58;18;52
7,775;7,8;22;60;20;54
7,7875;7,8125;24;71;22;59
7,8;7,825;24;71;24;58
7,8125;7,8375;28;77;24;72
7,825;7,85;32;91;24;76
7,8375;7,8625;32;97;26;68
7,85;7,875;34;94;30;73
7,8625;7,8875;39;93;33;81
7,875;7,9;42;91;30;80
7,8875;7,9125;38;83;31;83
7,9;7,925;34;77;36;81
7,9125;7,9375;43;82;38;74
7,925;7,95;46;90;34;70
7,9375;7,9625;43;88;37;79
7,95;7,975;38;84;34;79
7,9625;7,9875;44;88;38;70
7,975;8;48;94;45;86
7,9875;8,0125;37;85;38;93
8;8,025;37;77;38;83
8,0125;8,0375;50;81;46;83
8,025;8,05;67;109;54;101
8,0375;8,0625;70;133;60;123
8,05;8,075;75;149;65;131
8,0625;8,0875;74;144;65;133
8,075;8,1;55;122;60;120
8,0875;8,1125;46;105;50;105
8,1;8,125;47;97;43;104
8,1125;8,1375;50;106;40;108
8,125;8,15;50;115;46;103
8,1375;8,1625;44;108;48;93
8,15;8,175;40;101;42;98
8,1625;8,1875;45;107;45;94
8,175;8,2;51;103;49;81
8,1875;8,2125;55;97;57;89
8,2;8,225;56;93;62;95
8,2125;8,2375;48;105;54;99
8,225;8,25;45;110;45;110
8,2375;8,2625;55;112;52;114
8,25;8,275;62;112;56;101
8,2625;8,2875;61;101;51;83
8,275;8,3;64;96;60;87
8,2875;8,3125;61;99;60;93
8,3;8,325;66;95;62;88
8,3125;8,3375;77;101;70;94
8,325;8,35;72;103;68;100
8,3375;8,3625;70;104;70;111
8,35;8,375;69;111;65;119
8,3625;8,3875;70;104;66;100
8,375;8,4;75;98;74;90
8,3875;8,4125;72;112;74;96
8,4;8,425;61;115;63;104
8,4125;8,4375;60;98;56;101
8,425;8,45;68;96;64;92
8,4375;8,4625;70;103;56;96
8,45;8,475;60;111;48;109
8,4625;8,4875;45;125;49;120
8,475;8,5;50;128;53;122
8,4875;8,5125;66;135;68;121
8,5;8,525;71;141;69;123
8,5125;8,5375;66;132;60;121
8,525;8,55;67;131;58;124
8,5375;8,5625;66;127;56;110
8,55;8,575;59;139;55;106
8,5625;8,5875;69;142;63;116
8,575;8,6;71;122;68;104
8,5875;8,6125;61;114;65;96
8,6;8,625;69;110;68;98
8,6125;8,6375;79;98;69;94
8,625;8,65;77;103;73;100
8,6375;8,6625;76;108;76;110
8,65;8,675;82;102;77;125
8,6625;8,6875;87;102;84;129
8,675;8,7;86;109;80;109
8,6875;8,7125;81;110;81;107
8,7;8,725;79;110;74;114
8,7125;8,7375;77;105;71;110
8,725;8,75;76;118;78;115
8,7375;8,7625;76;131;69;125
8,75;8,775;75;133;71;116
8,7625;8,7875;71;137;81;121
8,775;8,8;75;135;80;134
8,7875;8,8125;82;132;72;129
8,8;8,825;77;123;64;121
8,8125;8,8375;69;116;67;116
8,825;8,85;69;112;71;109
8,8375;8,8625;72;110;69;99
8,85;8,875;73;123;64;103
8,8625;8,8875;68;124;70;107
8,875;8,9;63;129;76;113
8,8875;8,9125;68;142;75;124
8,9;8,925;76;144;79;119
8,9125;8,9375;90;156;84;119
8,925;8,95;90;151;79;122
8,9375;8,9625;85;146;71;130
8,95;8,975;87;144;75;132
8,9625;8,9875;77;129;80;126
8,975;9;76;121;79;125
8,9875;9,0125;81;114;76;116
9;9,025;85;121;74;107
9,0125;9,0375;81;124;72;120
9,025;9,05;80;119;67;130
9,0375;9,0625;85;110;66;125
9,05;9,075;81;124;68;124
9,0625;9,0875;77;141;83;128
9,075;9,1;72;132;78;128
9,0875;9,1125;75;131;70;131
9,1;9,125;80;126;66;131
9,1125;9,1375;73;125;58;129
9,125;9,15;69;121;64;140
9,1375;9,1625;63;122;65;144
9,15;9,175;59;135;66;153
9,1625;9,1875;69;133;66;153
9,175;9,2;70;139;64;141
9,1875;9,2125;58;151;75;142
9,2;9,225;58;157;75;143
9,2125;9,2375;58;148;62;141
9,225;9,25;60;120;68;138
9,2375;9,2625;63;118;71;136
9,25;9,275;54;125;62;138
9,2625;9,2875;56;126;66;132
9,275;9,3;58;129;68;125
9,2875;9,3125;59;134;65;126
9,3;9,325;55;127;63;119
9,3125;9,3375;59;123;71;114
9,325;9,35;79;115;82;107
9,3375;9,3625;85;102;71;111
9,35;9,375;82;114;67;116
9,3625;9,3875;78;124;78;123
9,375;9,4;68;123;81;145
9,3875;9,4125;71;122;89;138
9,4;9,425;75;124;85;117
9,4125;9,4375;70;132;74;111
9,425;9,45;69;124;72;117
9,4375;9,4625;66;115;67;121
9,45;9,475;70;125;66;120
9,4625;9,4875;74;140;66;133
9,475;9,5;68;150;68;136
9,4875;9,5125;68;143;64;142
9,5;9,525;68;134;66;149
9,5125;9,5375;66;133;76;143
9,525;9,55;52;134;58;140
9,5375;9,5625;51;130;46;138
9,55;9,575;72;140;56;141
9,5625;9,5875;81;139;57;136
9,575;9,6;63;134;46;139
9,5875;9,6125;52;131;56;138
9,6;9,625;53;132;60;137
9,6125;9,6375;53;147;57;145
9,625;9,65;59;144;64;135
9,6375;9,6625;60;144;63;128
9,65;9,675;56;149;63;136
9,6625;9,6875;50;148;63;138
9,675;9,7;55;143;63;143
9,6875;9,7125;64;127;63;135
9,7;9,725;73;107;75;102
9,7125;9,7375;74;105;71;107
9,725;9,75;72;116;57;139
9,7375;9,7625;75;125;73;151
9,75;9,775;80;131;94;147
9,7625;9,7875;83;123;93;134
9,775;9,8;82;113;93;128
9,7875;9,8125;82;112;96;121
9,8;9,825;76;109;90;134
9,8125;9,8375;70;109;80;145
9,825;9,85;74;121;68;129
9,8375;9,8625;74;130;72;133
9,85;9,875;59;133;69;138
9,8625;9,8875;53;129;67;130
9,875;9,9;69;135;79;139
9,8875;9,9125;94;193;93;177
9,9;9,925;154;243;140;229
9,9125;9,9375;168;247;155;240
9,925;9,95;134;237;116;227
9,9375;9,9625;103;221;91;209
9,95;9,975;67;202;69;187
9,9625;9,9875;61;203;49;184
9,975;10;57;182;43;172
9,9875;10,0125;53;178;50;176
10;10,025;45;180;49;166
10,0125;10,0375;39;184;39;155
10,025;10,05;44;216;37;176
10,0375;10,0625;67;224;42;196
10,05;10,075;64;203;38;189
10,0625;10,0875;43;175;31;167
10,075;10,1;41;194;36;186
10,0875;10,1125;40;183;42;175
10,1;10,125;35;155;37;149
10,1125;10,1375;27;157;35;154
10,125;10,15;34;153;41;141
10,1375;10,1625;41;155;39;145
10,15;10,175;39;147;33;145
10,1625;10,1875;29;131;31;144
10,175;10,2;29;129;39;155
10,1875;10,2125;40;135;40;145
10,2;10,225;43;137;39;139
10,2125;10,2375;33;143;39;128
10,225;10,25;28;140;30;120
10,2375;10,2625;31;130;33;126
10,25;10,275;39;131;45;140
10,2625;10,2875;36;137;37;143
