Start;Stop;;;;
6,8625;6,8875;85;175;75;161
6,875;6,9;86;183;79;164
6,8875;6,9125;89;192;75;165
6,9;6,925;86;162;77;170
6,9125;6,9375;89;141;84;164
6,925;6,95;92;151;79;163
6,9375;6,9625;96;157;69;169
6,95;6,975;90;158;88;175
6,9625;6,9875;78;165;82;174
6,975;7;68;157;66;158
6,9875;7,0125;76;160;86;159
7;7,025;82;164;87;158
7,0125;7,0375;78;170;72;152
7,025;7,05;78;168;74;147
7,0375;7,0625;83;155;86;154
7,05;7,075;88;161;85;166
7,0625;7,0875;87;162;75;172
7,075;7,1;83;159;87;171
7,0875;7,1125;65;168;79;168
7,1;7,125;68;185;65;155
7,1125;7,1375;82;170;63;154
7,125;7,15;78;153;71;178
7,1375;7,1625;72;163;81;186
7,15;7,175;94;175;105;199
7,1625;7,1875;120;183;128;191
7,175;7,2;137;177;132;175
7,1875;7,2125;151;166;133;180
7,2;7,225;144;165;137;179
7,2125;7,2375;144;167;138;168
7,225;7,25;138;161;131;166
7,2375;7,2625;129;160;133;170
7,25;7,275;136;171;141;166
7,2625;7,2875;139;169;138;167
7,275;7,3;134;165;130;169
7,2875;7,3125;131;168;133;164
7,3;7,325;130;158;139;170
7,3125;7,3375;122;155;135;177
7,325;7,35;129;165;126;167
7,3375;7,3625;133;167;124;176
7,35;7,375;131;164;120;171
7,3625;7,3875;134;163;115;171
7,375;7,4;133;164;118;168
7,3875;7,4125;125;174;130;164
7,4;7,425;121;180;116;165
7,4125;7,4375;117;169;97;164
7,425;7,45;103;159;95;165
7,4375;7,4625;92;163;116;173
7,45;7,475;83;161;106;173
7,4625;7,4875;100;163;85;175
7,475;7,5;109;165;96;172
7,4875;7,5125;101;176;105;174
7,5;7,525;115;170;127;179
7,5125;7,5375;131;156;132;171
7,525;7,55;128;154;132;167
7,5375;7,5625;124;155;132;157
7,55;7,575;125;158;117;154
7,5625;7,5875;121;165;113;153
7,575;7,6;119;173;125;153
7,5875;7,6125;119;178;126;161
7,6;7,625;123;171;123;169
7,6125;7,6375;126;152;120;158
7,625;7,65;124;155;118;159
7,6375;7,6625;121;152;118;161
7,65;7,675;113;156;119;155
7,6625;7,6875;112;164;118;161
7,675;7,7;118;162;114;156
7,6875;7,7125;115;152;122;155
7,7;7,725;115;147;113;156
7,7125;7,7375;115;150;105;151
7,725;7,75;108;156;110;162
7,7375;7,7625;107;163;105;158
7,75;7,775;109;148;97;155
7,7625;7,7875;88;137;93;163
7,775;7,8;90;158;101;163
7,7875;7,8125;107;175;95;163
7,8;7,825;94;171;85;162
7,8125;7,8375;95;170;92;164
7,825;7,85;99;163;98;163
7,8375;7,8625;104;141;107;145
7,85;7,875;113;134;120;141
7,8625;7,8875;122;143;121;157
7,875;7,9;136;159;123;167
7,8875;7,9125;128;161;127;172
7,9;7,925;123;164;125;160
7,9125;7,9375;119;157;120;149
7,925;7,95;121;154;123;151
7,9375;7,9625;123;150;118;147
7,95;7,975;120;133;120;150
7,9625;7,9875;123;145;119;150
7,975;8;121;161;120;141
7,9875;8,0125;121;156;122;161
8;8,025;118;145;120;173
8,0125;8,0375;116;152;130;170
8,025;8,05;125;160;131;154
8,0375;8,0625;122;158;126;156
8,05;8,075;111;168;127;160
8,0625;8,0875;115;174;116;155
8,075;8,1;121;169;103;162
8,0875;8,1125;113;164;104;153
8,1;8,125;101;164;95;150
8,1125;8,1375;106;164;83;157
8,125;8,15;100;155;86;164
8,1375;8,1625;91;161;86;157
8,15;8,175;92;164;81;140
8,1625;8,1875;91;168;91;146
8,175;8,2;100;170;109;178
8,1875;8,2125;116;157;114;179
8,2;8,225;120;165;127;175
8,2125;8,2375;115;166;123;178
8,225;8,25;115;154;111;158
8,2375;8,2625;121;152;113;159
8,25;8,275;118;154;113;160
8,2625;8,2875;114;151;117;152
8,275;8,3;112;159;124;160
8,2875;8,3125;115;165;119;171
8,3;8,325;117;161;109;170
8,3125;8,3375;115;162;107;158
8,325;8,35;112;156;107;164
8,3375;8,3625;100;152;112;175
8,35;8,375;106;163;108;168
8,3625;8,3875;109;167;94;156
8,375;8,4;101;161;101;165
8,3875;8,4125;99;156;112;175
8,4;8,425;94;152;93;162
8,4125;8,4375;89;169;96;160
8,425;8,45;82;173;94;164
8,4375;8,4625;76;166;69;154
8,45;8,475;78;167;75;160
8,4625;8,4875;82;165;88;166
8,475;8,5;92;174;87;162
8,4875;8,5125;93;179;76;156
8,5;8,525;76;161;75;159
8,5125;8,5375;81;163;73;171
8,525;8,55;110;170;90;177
8,5375;8,5625;116;144;104;192
8,55;8,575;115;151;106;171
8,5625;8,5875;120;176;124;158
8,575;8,6;121;152;113;161
8,5875;8,6125;125;164;106;154
8,6;8,625;115;167;110;149
8,6125;8,6375;116;160;112;162
8,625;8,65;116;170;103;163
8,6375;8,6625;111;160;107;152
8,65;8,675;118;164;121;155
8,6625;8,6875;115;148;118;157
8,675;8,7;111;146;115;161
8,6875;8,7125;123;174;125;165
8,7;8,725;125;179;117;166
8,7125;8,7375;109;154;100;157
8,725;8,75;100;152;94;159
8,7375;8,7625;104;155;96;172
8,75;8,775;99;151;109;173
8,7625;8,7875;103;176;118;158
8,775;8,8;112;169;101;149
8,7875;8,8125;104;168;86;159
8,8;8,825;93;180;89;153
8,8125;8,8375;90;180;86;160
8,825;8,85;84;170;98;176
8,8375;8,8625;76;157;90;180
8,85;8,875;76;157;70;168
8,8625;8,8875;66;153;72;159
8,875;8,9;69;165;79;154
8,8875;8,9125;101;180;93;157
8,9;8,925;112;177;118;174
8,9125;8,9375;117;169;135;179
8,925;8,95;129;158;139;178
8,9375;8,9625;122;158;137;186
8,95;8,975;121;162;135;182
8,9625;8,9875;123;156;140;176
8,975;9;127;157;136;168
8,9875;9,0125;130;174;119;162
9;9,025;123;163;110;162
9,0125;9,0375;120;150;113;168
9,025;9,05;123;165;118;165
9,0375;9,0625;113;145;125;154
9,05;9,075;114;141;120;148
9,0625;9,0875;118;153;121;155
9,075;9,1;105;144;126;158
9,0875;9,1125;100;142;117;151
9,1;9,125;105;130;110;146
9,1125;9,1375;111;139;115;154
9,125;9,15;98;171;113;160
9,1375;9,1625;94;163;101;150
9,15;9,175;95;148;88;161
9,1625;9,1875;95;172;95;172
9,175;9,2;106;177;88;179
9,1875;9,2125;94;152;75;173
9,2;9,225;91;146;91;150
9,2125;9,2375;98;155;90;154
9,225;9,25;86;158;84;168
9,2375;9,2625;90;164;88;158
9,25;9,275;119;185;115;167
9,2625;9,2875;130;186;139;173
9,275;9,3;124;158;129;156
9,2875;9,3125;119;158;118;159
9,3;9,325;122;173;116;161
9,3125;9,3375;123;164;119;162
9,325;9,35;120;143;115;162
9,3375;9,3625;113;145;107;161
9,35;9,375;115;153;107;163
9,3625;9,3875;125;154;113;159
9,375;9,4;120;158;117;154
9,3875;9,4125;111;152;108;135
9,4;9,425;115;144;105;132
9,4125;9,4375;112;139;101;144
9,425;9,45;110;139;108;153
9,4375;9,4625;109;148;116;151
9,45;9,475;103;147;112;149
9,4625;9,4875;108;131;99;152
9,475;9,5;112;137;97;142
9,4875;9,5125;106;143;97;137
9,5;9,525;97;146;89;147
9,5125;9,5375;94;162;88;145
9,525;9,55;84;157;90;131
9,5375;9,5625;88;147;89;133
9,55;9,575;97;146;77;134
9,5625;9,5875;81;148;61;140
9,575;9,6;79;151;68;152
9,5875;9,6125;96;166;91;156
9,6;9,625;101;184;101;174
9,6125;9,6375;108;177;122;200
9,625;9,65;130;190;128;215
9,6375;9,6625;120;216;113;214
9,65;9,675;98;207;121;222
9,6625;9,6875;98;209;129;214
9,675;9,7;108;202;119;192
9,6875;9,7125;114;194;135;199
9,7;9,725;120;205;128;206
9,7125;9,7375;112;198;97;195
9,725;9,75;99;195;97;181
9,7375;9,7625;99;196;104;183
9,75;9,775;98;187;108;197
9,7625;9,7875;99;185;111;210
9,775;9,8;99;180;113;203
9,7875;9,8125;102;180;92;193
9,8;9,825;105;188;77;187
9,8125;9,8375;90;183;88;180
9,825;9,85;82;185;91;184
9,8375;9,8625;72;186;94;180
9,85;9,875;61;175;82;165
9,8625;9,8875;64;177;72;165
9,875;9,9;65;187;87;172
9,8875;9,9125;73;197;80;176
9,9;9,925;72;189;79;168
9,9125;9,9375;86;177;87;171
9,925;9,95;88;174;96;183
9,9375;9,9625;98;177;128;185
9,95;9,975;116;187;129;180
9,9625;9,9875;112;180;116;184
9,975;10;111;185;124;192
9,9875;10,0125;101;173;124;188
10;10,025;114;170;124;192
10,0125;10,0375;119;187;127;200
10,025;10,05;112;189;115;186
10,0375;10,0625;106;187;108;183
10,05;10,075;114;181;106;176
10,0625;10,0875;127;174;104;174
10,075;10,1;122;179;110;177
10,0875;10,1125;112;191;109;167
10,1;10,125;108;189;110;163
10,1125;10,1375;113;176;121;181
10,125;10,15;110;164;119;181
10,1375;10,1625;108;168;113;170
10,15;10,175;117;179;108;172
10,1625;10,1875;103;180;94;173
10,175;10,2;86;168;79;174
10,1875;10,2125;80;163;66;174
10,2;10,225;83;167;56;160
10,2125;10,2375;89;168;60;156
10,225;10,25;89;166;72;168
10,2375;10,2625;91;169;72;155
10,25;10,275;76;176;75;162
10,2625;10,2875;64;181;79;177
