Start;Stop;;;;
6,6875;6,7125;78;160;94;181
6,7;6,725;70;158;82;172
6,7125;6,7375;75;159;90;169
6,725;6,75;70;171;110;170
6,7375;6,7625;83;179;90;160
6,75;6,775;96;174;80;160
6,7625;6,7875;80;163;97;169
6,775;6,8;74;165;82;180
6,7875;6,8125;80;172;64;167
6,8;6,825;88;175;74;155
6,8125;6,8375;82;175;66;156
6,825;6,85;71;167;63;162
6,8375;6,8625;58;166;78;169
6,85;6,875;88;167;119;168
6,8625;6,8875;124;171;142;173
6,875;6,9;102;170;125;175
6,8875;6,9125;110;165;106;167
6,9;6,925;122;170;112;176
6,9125;6,9375;99;168;120;190
6,925;6,95;92;164;79;167
6,9375;6,9625;94;168;47;179
6,95;6,975;95;170;61;207
6,9625;6,9875;107;174;93;192
6,975;7;114;179;78;173
6,9875;7,0125;121;175;53;176
7;7,025;108;168;81;189
7,0125;7,0375;72;175;127;196
7,025;7,05;81;184;145;206
7,0375;7,0625;95;174;97;205
7,05;7,075;82;185;60;163
7,0625;7,0875;84;206;47;151
7,075;7,1;59;178;24;141
7,0875;7,1125;27;142;17;92
7,1;7,125;22;116;15;75
7,1125;7,1375;18;86;15;71
7,125;7,15;17;77;15;81
7,1375;7,1625;13;103;15;116
7,15;7,175;11;123;13;158
7,1625;7,1875;13;125;30;180
7,175;7,2;13;127;49;165
7,1875;7,2125;9;120;45;159
7,2;7,225;8;122;28;174
7,2125;7,2375;7;119;13;149
7,225;7,25;9;109;10;106
7,2375;7,2625;9;114;15;106
7,25;7,275;7;120;28;135
7,2625;7,2875;8;109;28;149
7,275;7,3;11;105;14;124
7,2875;7,3125;13;120;11;121
7,3;7,325;17;147;8;128
7,3125;7,3375;30;158;11;132
7,325;7,35;28;153;12;140
7,3375;7,3625;14;136;16;120
7,35;7,375;25;139;23;108
7,3625;7,3875;23;158;16;128
7,375;7,4;29;164;11;145
7,3875;7,4125;81;153;62;137
7,4;7,425;118;137;122;131
7,4125;7,4375;125;135;126;128
7,425;7,45;95;130;102;122
7,4375;7,4625;91;120;100;117
7,45;7,475;112;114;113;116
7,4625;7,4875;117;118;114;120
7,475;7,5;99;124;98;118
7,4875;7,5125;86;126;80;122
7,5;7,525;83;132;72;108
7,5125;7,5375;54;133;52;108
7,525;7,55;31;128;42;125
7,5375;7,5625;21;115;41;108
7,55;7,575;28;125;52;111
7,5625;7,5875;50;160;60;139
7,575;7,6;52;160;67;153
7,5875;7,6125;35;157;56;161
7,6;7,625;49;161;44;167
7,6125;7,6375;58;159;55;158
7,625;7,65;35;155;47;143
7,6375;7,6625;23;136;29;148
7,65;7,675;24;135;16;159
7,6625;7,6875;18;148;14;156
7,675;7,7;39;164;35;163
7,6875;7,7125;47;171;56;171
7,7;7,725;40;165;39;143
7,7125;7,7375;67;182;32;131
7,725;7,75;60;167;55;148
7,7375;7,7625;37;141;68;147
7,75;7,775;33;138;81;144
7,7625;7,7875;51;142;91;149
7,775;7,8;78;141;106;154
7,7875;7,8125;58;137;108;156
7,8;7,825;64;132;117;146
7,8125;7,8375;91;135;133;147
7,825;7,85;90;141;128;156
7,8375;7,8625;84;142;137;165
7,85;7,875;60;151;138;164
7,8625;7,8875;43;161;114;147
7,875;7,9;43;174;90;145
7,8875;7,9125;60;197;83;170
7,9;7,925;106;200;96;175
7,9125;7,9375;95;187;124;173
7,925;7,95;71;182;135;182
7,9375;7,9625;89;169;81;166
7,95;7,975;120;185;44;168
7,9625;7,9875;148;207;75;184
7,975;8;127;200;108;187
7,9875;8,0125;97;204;108;183
8;8,025;92;204;83;184
8,0125;8,0375;71;196;69;177
8,025;8,05;79;187;86;178
8,0375;8,0625;107;183;108;185
8,05;8,075;98;184;98;174
8,0625;8,0875;94;188;86;188
8,075;8,1;114;191;72;195
8,0875;8,1125;130;193;83;185
8,1;8,125;141;202;63;162
8,1125;8,1375;145;206;26;158
8,125;8,15;139;193;62;178
8,1375;8,1625;121;184;73;191
8,15;8,175;105;177;52;193
8,1625;8,1875;95;177;47;185
8,175;8,2;100;197;56;176
8,1875;8,2125;89;204;59;189
8,2;8,225;69;186;37;191
8,2125;8,2375;67;168;67;189
8,225;8,25;71;174;136;211
8,2375;8,2625;61;186;141;225
8,25;8,275;25;161;78;202
8,2625;8,2875;9;129;31;130
8,275;8,3;9;123;26;101
8,2875;8,3125;9;119;21;118
8,3;8,325;18;118;19;103
8,3125;8,3375;17;145;13;128
8,325;8,35;9;164;9;167
8,3375;8,3625;24;173;35;163
8,35;8,375;34;176;48;165
8,3625;8,3875;27;181;38;180
8,375;8,4;19;195;33;175
8,3875;8,4125;26;197;19;166
8,4;8,425;42;194;27;174
8,4125;8,4375;34;189;47;177
8,425;8,45;50;200;56;174
8,4375;8,4625;53;203;69;170
8,45;8,475;40;202;71;183
8,4625;8,4875;51;208;77;183
8,475;8,5;61;206;90;179
8,4875;8,5125;64;179;103;196
8,5;8,525;67;175;90;185
8,5125;8,5375;82;177;74;185
8,525;8,55;64;174;70;191
8,5375;8,5625;51;189;71;201
8,55;8,575;67;178;87;224
8,5625;8,5875;73;144;88;225
8,575;8,6;72;149;48;183
8,5875;8,6125;66;155;32;153
8,6;8,625;60;141;40;146
8,6125;8,6375;57;154;42;140
8,625;8,65;58;150;50;141
8,6375;8,6625;73;143;63;134
8,65;8,675;86;154;78;138
8,6625;8,6875;73;147;68;127
8,675;8,7;63;142;66;115
8,6875;8,7125;66;140;71;132
8,7;8,725;67;137;76;136
8,7125;8,7375;70;142;80;117
8,725;8,75;70;143;58;132
8,7375;8,7625;69;138;35;157
8,75;8,775;82;136;54;153
8,7625;8,7875;85;131;78;146
8,775;8,8;58;127;57;145
8,7875;8,8125;61;136;44;141
8,8;8,825;79;122;71;137
8,8125;8,8375;68;119;83;155
8,825;8,85;63;129;70;161
8,8375;8,8625;69;129;66;150
8,85;8,875;71;124;71;143
8,8625;8,8875;74;119;69;124
8,875;8,9;69;131;57;112
8,8875;8,9125;55;133;52;123
8,9;8,925;57;134;62;142
8,9125;8,9375;67;138;73;156
8,925;8,95;72;131;69;155
8,9375;8,9625;57;135;62;155
8,95;8,975;49;134;54;162
8,9625;8,9875;70;142;48;150
8,975;9;77;161;55;133
8,9875;9,0125;78;160;59;151
9;9,025;84;147;56;160
9,0125;9,0375;87;162;58;143
9,025;9,05;117;189;64;144
9,0375;9,0625;117;196;71;154
9,05;9,075;100;208;61;163
9,0625;9,0875;107;216;53;159
9,075;9,1;85;196;56;139
9,0875;9,1125;61;155;56;139
9,1;9,125;67;141;55;150
9,1125;9,1375;78;155;54;148
9,125;9,15;77;155;54;146
9,1375;9,1625;73;152;49;163
9,15;9,175;45;159;63;182
9,1625;9,1875;61;180;70;182
9,175;9,2;82;184;78;169
9,1875;9,2125;70;181;72;147
9,2;9,225;72;188;54;144
9,2125;9,2375;78;183;72;154
9,225;9,25;97;174;76;155
9,2375;9,2625;97;184;69;141
9,25;9,275;62;190;61;147
9,2625;9,2875;49;188;48;168
9,275;9,3;54;189;67;183
9,2875;9,3125;48;177;86;177
9,3;9,325;58;176;69;154
9,3125;9,3375;52;188;56;139
9,325;9,35;51;179;60;151
9,3375;9,3625;67;170;67;167
9,35;9,375;79;186;64;158
9,3625;9,3875;88;190;68;147
9,375;9,4;73;186;76;137
9,3875;9,4125;46;192;60;153
9,4;9,425;80;201;52;168
9,4125;9,4375;131;197;61;177
9,425;9,45;137;204;66;173
9,4375;9,4625;149;204;63;153
9,45;9,475;135;205;63;153
9,4625;9,4875;124;210;71;160
9,475;9,5;145;210;79;177
9,4875;9,5125;141;209;92;199
9,5;9,525;147;210;100;188
9,5125;9,5375;162;218;96;174
9,525;9,55;153;208;99;178
9,5375;9,5625;136;203;89;170
9,55;9,575;97;204;83;169
9,5625;9,5875;96;199;80;182
9,575;9,6;141;200;89;186
9,5875;9,6125;174;207;87;180
9,6;9,625;158;207;66;165
9,6125;9,6375;148;204;65;174
9,625;9,65;174;211;64;189
9,6375;9,6625;175;212;58;182
9,65;9,675;148;204;59;168
9,6625;9,6875;104;199;58;164
9,675;9,7;76;196;58;177
9,6875;9,7125;86;197;63;170
9,7;9,725;79;187;39;137
9,7125;9,7375;62;185;43;125
9,725;9,75;83;206;62;137
9,7375;9,7625;109;209;59;144
9,75;9,775;93;204;57;151
9,7625;9,7875;80;206;60;175
9,775;9,8;65;197;56;178
9,7875;9,8125;40;191;66;175
9,8;9,825;66;196;83;175
9,8125;9,8375;76;196;73;160
9,825;9,85;56;192;56;154
9,8375;9,8625;70;190;60;153
9,85;9,875;110;192;74;159
9,8625;9,8875;138;201;73;171
9,875;9,9;131;209;72;167
9,8875;9,9125;95;207;71;164
9,9;9,925;103;208;61;164
9,9125;9,9375;114;205;67;172
9,925;9,95;105;193;74;175
9,9375;9,9625;86;196;61;160
9,95;9,975;76;196;55;143
9,9625;9,9875;116;197;75;139
9,975;10;115;195;81;143
9,9875;10,0125;100;193;90;148
10;10,025;117;193;87;161
10,0125;10,0375;142;197;74;157
10,025;10,05;135;209;71;158
10,0375;10,0625;92;204;79;166
10,05;10,075;87;196;95;170
10,0625;10,0875;97;186;87;176
10,075;10,1;79;172;74;170
10,0875;10,1125;61;163;77;149
10,1;10,125;74;166;98;152
10,1125;10,1375;89;180;96;162
10,125;10,15;83;186;84;154
10,1375;10,1625;75;180;84;166
10,15;10,175;55;167;85;177
10,1625;10,1875;57;165;82;159
10,175;10,2;71;173;91;167
10,1875;10,2125;68;175;94;176
10,2;10,225;80;177;75;168
10,2125;10,2375;88;175;70;168
10,225;10,25;79;169;85;157
10,2375;10,2625;62;158;76;151
10,25;10,275;63;138;54;150
10,2625;10,2875;71;141;75;138
