Start;Stop;;
7,7625;7,7875;1767,95;2135,81
7,775;7,8;1811,5;2188,97
7,7875;7,8125;1802,54;2158,84
7,8;7,825;2091,53;2552,94
7,8125;7,8375;2131,17;2627,59
7,825;7,85;2064,59;2553,89
7,8375;7,8625;2004,58;2441,63
7,85;7,875;1745,09;2094,53
7,8625;7,8875;1643,92;1919,48
7,875;7,9;1312,52;1468,8
7,8875;7,9125;994,572;1167,19
7,9;7,925;849,931;1051,87
7,9125;7,9375;667,522;847,53
7,925;7,95;562,666;676,148
7,9375;7,9625;405,536;493,18
7,95;7,975;312,431;384,648
7,9625;7,9875;317,013;401,737
7,975;8;324,735;446,137
7,9875;8,0125;462,396;698,482
8;8,025;410,655;632,299
8,0125;8,0375;159,087;182,052
8,025;8,05;123,616;137,153
8,0375;8,0625;92,0568;123,34
8,05;8,075;101,931;136,046
8,0625;8,0875;121,015;169,318
8,075;8,1;196,062;314,664
8,0875;8,1125;704,283;992,122
8,1;8,125;759,16;1062,61
8,1125;8,1375;1241,16;1656,81
8,125;8,15;2167,18;2819,73
8,1375;8,1625;2723,25;3659,27
8,15;8,175;2909,71;3832,78
8,1625;8,1875;3042,99;4054,86
8,175;8,2;3817;5325,15
8,1875;8,2125;4073,15;5607,68
8,2;8,225;3733,07;5077,71
8,2125;8,2375;4236,89;5576,79
8,225;8,25;4087,54;5353,28
8,2375;8,2625;3155,59;4212,75
8,25;8,275;2628,15;3339,88
8,2625;8,2875;1743,27;2079,4
8,275;8,3;755,677;796,25
8,2875;8,3125;598,222;692,276
8,3;8,325;487,763;618,451
8,3125;8,3375;429,803;580,091
8,325;8,35;476,958;647,151
8,3375;8,3625;518,939;721,725
8,35;8,375;516,98;712,775
8,3625;8,3875;485,219;752,893
8,375;8,4;450,719;787,478
8,3875;8,4125;447,919;817,609
8,4;8,425;451,481;830,107
8,4125;8,4375;423,136;773,679
8,425;8,45;379,295;699,261
8,4375;8,4625;352,911;658,933
8,45;8,475;376,776;708,085
8,4625;8,4875;379,769;660,28
8,475;8,5;326,093;537,478
8,4875;8,5125;235,861;377,577
8,5;8,525;120,191;186,336
8,5125;8,5375;173,114;179,653
8,525;8,55;184,064;175,964
8,5375;8,5625;166,196;210,948
8,55;8,575;144,68;201,445
8,5625;8,5875;68,2706;68,8616
8,575;8,6;62,6972;61,9517
8,5875;8,6125;401,09;559,424
8,6;8,625;511,117;729,281
8,6125;8,6375;333,009;487,431
8,625;8,65;1334,67;1485,2
8,6375;8,6625;2101,16;2387,16
8,65;8,675;2530,19;2692,69
8,6625;8,6875;2939,3;3035,59
8,675;8,7;3010,47;3381,65
8,6875;8,7125;2698,14;3109,71
8,7;8,725;2763,94;3219,89
8,7125;8,7375;3045;3617,55
8,725;8,75;2608,41;3032,41
8,7375;8,7625;2288,07;2609,32
8,75;8,775;2455,74;2737,94
8,7625;8,7875;2176,54;2425,69
8,775;8,8;2394,46;2786,22
8,7875;8,8125;2542,57;3048,66
8,8;8,825;2785,99;3473,34
8,8125;8,8375;2872,53;3616,98
8,825;8,85;2732,01;3443
8,8375;8,8625;2716,59;3416,14
8,85;8,875;2122,96;2750,2
8,8625;8,8875;1634,36;2146,94
8,875;8,9;1209,89;1519,61
8,8875;8,9125;661,403;850,14
8,9;8,925;495,991;609,772
8,9125;8,9375;465,286;436,26
8,925;8,95;403,626;347,122
8,9375;8,9625;311,455;303,422
8,95;8,975;259,348;247,604
8,9625;8,9875;172,678;192,639
8,975;9;130,839;178,458
8,9875;9,0125;127,987;167,087
9;9,025;147,211;196,513
9,0125;9,0375;149,432;206,522
9,025;9,05;146,495;210,641
9,0375;9,0625;149,389;223,013
9,05;9,075;168,957;240,335
9,0625;9,0875;185,005;271,482
9,075;9,1;237,493;366,22
9,0875;9,1125;299,787;450,514
9,1;9,125;593,919;839,181
9,1125;9,1375;1140,2;1583,45
9,125;9,15;1462,74;1987,05
9,1375;9,1625;1803,02;2474,14
9,15;9,175;2906,07;3830,84
9,1625;9,1875;3349,79;4271,08
9,175;9,2;3864,48;4978,51
9,1875;9,2125;4003,36;5130,98
9,2;9,225;3408,12;4262,46
9,2125;9,2375;3945,71;5038,79
9,225;9,25;3843,26;4935,5
9,2375;9,2625;3028,3;3842,92
9,25;9,275;3229,85;4247,31
9,2625;9,2875;3044,48;4144,38
9,275;9,3;2933,07;4000,81
9,2875;9,3125;2892,84;3950,23
9,3;9,325;2379,08;3214,31
9,3125;9,3375;2701,33;3477,49
9,325;9,35;2589,65;3242,9
9,3375;9,3625;2125,95;2650,94
9,35;9,375;1785,46;2260,9
9,3625;9,3875;1138,8;1438,9
9,375;9,4;905,446;1166,07
9,3875;9,4125;646,498;878,545
9,4;9,425;424,419;591,149
9,4125;9,4375;353,668;437,42
9,425;9,45;265,306;271,551
9,4375;9,4625;227,059;234,608
9,45;9,475;167,505;186,93
9,4625;9,4875;129,428;146,994
9,475;9,5;108,114;130,933
9,4875;9,5125;107,117;107,621
9,5;9,525;97,8656;94,4612
9,5125;9,5375;84,0127;88,1001
9,525;9,55;75,6271;88,935
9,5375;9,5625;78,8183;93,7141
9,55;9,575;76,3018;82,9234
9,5625;9,5875;67,6805;73,494
9,575;9,6;58,9841;68,4815
9,5875;9,6125;57,6957;60,1201
9,6;9,625;59,8521;62,412
9,6125;9,6375;276,813;303,474
9,625;9,65;884,385;959,455
9,6375;9,6625;1233,99;1305,33
9,65;9,675;1221,96;1316,41
9,6625;9,6875;1408,11;1546,88
9,675;9,7;1371,79;1473,85
9,6875;9,7125;1100,83;1196,6
9,7;9,725;929,925;1030,24
9,7125;9,7375;762,28;845,052
9,725;9,75;728,509;821,361
9,7375;9,7625;753,017;849,694
