Start;Stop;;;;
8,8875;8,9125;27;91;16;87
8,9;8,925;25;102;19;87
8,9125;8,9375;17;100;27;99
8,925;8,95;17;105;32;103
8,9375;8,9625;21;122;31;104
8,95;8,975;26;136;33;110
8,9625;8,9875;36;148;36;116
8,975;9;54;155;42;134
8,9875;9,0125;45;149;43;143
9;9,025;38;129;45;108
9,0125;9,0375;43;130;48;95
9,025;9,05;46;128;51;110
9,0375;9,0625;52;106;60;100
9,05;9,075;58;94;60;86
9,0625;9,0875;64;98;61;90
9,075;9,1;59;94;61;87
9,0875;9,1125;51;85;55;77
9,1;9,125;41;87;41;77
9,1125;9,1375;30;74;31;76
9,125;9,15;25;76;33;72
9,1375;9,1625;29;80;39;69
9,15;9,175;31;66;44;67
9,1625;9,1875;27;64;41;69
9,175;9,2;27;61;37;61
9,1875;9,2125;30;57;42;61
9,2;9,225;32;57;38;64
9,2125;9,2375;32;57;32;66
9,225;9,25;35;61;41;65
9,2375;9,2625;32;66;41;67
9,25;9,275;29;70;40;71
9,2625;9,2875;36;61;41;65
9,275;9,3;38;61;33;63
9,2875;9,3125;37;65;31;66
9,3;9,325;30;65;31;71
9,3125;9,3375;25;65;27;71
9,325;9,35;32;65;34;59
9,3375;9,3625;30;69;36;59
9,35;9,375;27;69;29;68
9,3625;9,3875;30;67;24;76
9,375;9,4;25;69;20;75
9,3875;9,4125;24;95;17;80
9,4;9,425;26;103;18;90
9,4125;9,4375;25;113;26;86
9,425;9,45;23;146;27;92
9,4375;9,4625;31;152;27;115
9,45;9,475;38;163;34;141
9,4625;9,4875;45;162;39;158
9,475;9,5;55;153;34;166
9,4875;9,5125;52;159;46;168
9,5;9,525;54;154;53;173
9,5125;9,5375;51;151;56;164
9,525;9,55;55;161;59;160
9,5375;9,5625;65;170;53;169
9,55;9,575;55;174;57;164
9,5625;9,5875;53;167;53;165
9,575;9,6;81;164;58;169
9,5875;9,6125;83;159;67;166
9,6;9,625;68;158;77;165
9,6125;9,6375;54;152;64;157
9,625;9,65;24;114;24;128
9,6375;9,6625;11;89;11;90
9,65;9,675;16;85;18;86
9,6625;9,6875;18;82;24;107
9,675;9,7;20;85;28;114
9,6875;9,7125;21;98;27;121
9,7;9,725;26;124;35;136
9,7125;9,7375;25;135;41;139
9,725;9,75;36;138;48;139
9,7375;9,7625;39;119;47;134
9,75;9,775;24;106;50;128
9,7625;9,7875;22;101;46;117
9,775;9,8;18;97;26;122
9,7875;9,8125;19;102;21;123
9,8;9,825;22;89;16;115
9,8125;9,8375;20;67;20;104
9,825;9,85;18;48;26;76
9,8375;9,8625;18;46;22;60
9,85;9,875;18;62;18;50
9,8625;9,8875;15;86;13;74
9,875;9,9;20;117;10;127
9,8875;9,9125;26;146;20;158
9,9;9,925;27;167;42;171
9,9125;9,9375;38;177;54;189
9,925;9,95;47;177;38;184
9,9375;9,9625;46;176;34;186
9,95;9,975;44;165;42;184
9,9625;9,9875;45;169;33;169
9,975;10;59;170;34;173
9,9875;10,0125;61;166;41;170
10;10,025;54;174;65;159
10,0125;10,0375;69;167;88;146
10,025;10,05;87;173;80;152
10,0375;10,0625;86;172;79;165
10,05;10,075;78;155;72;159
10,0625;10,0875;79;158;61;158
10,075;10,1;81;166;69;161
10,0875;10,1125;75;171;68;154
10,1;10,125;46;166;41;132
10,1125;10,1375;22;122;23;106
10,125;10,15;29;116;38;122
10,1375;10,1625;39;158;36;149
10,15;10,175;36;150;28;116
10,1625;10,1875;36;95;34;77
10,175;10,2;36;77;32;73
10,1875;10,2125;30;72;32;71
10,2;10,225;31;64;37;67
10,2125;10,2375;33;64;37;66
10,225;10,25;31;64;30;63
10,2375;10,2625;29;62;21;58
10,25;10,275;22;57;21;55
10,2625;10,2875;18;57;22;62
