Start;Stop;;;;
8,1;8,125;30;62;30;61
8,1125;8,1375;28;58;35;56
8,125;8,15;26;61;34;49
8,1375;8,1625;26;56;32;50
8,15;8,175;28;52;34;54
8,1625;8,1875;29;55;33;58
8,175;8,2;30;52;34;56
8,1875;8,2125;30;50;32;50
8,2;8,225;30;49;34;46
8,2125;8,2375;28;48;34;47
8,225;8,25;28;52;32;46
8,2375;8,2625;30;54;34;47
8,25;8,275;28;54;34;48
8,2625;8,2875;26;49;32;47
8,275;8,3;26;52;32;50
8,2875;8,3125;26;52;30;46
8,3;8,325;25;52;25;44
8,3125;8,3375;26;59;28;51
8,325;8,35;24;58;28;56
8,3375;8,3625;24;61;28;59
8,35;8,375;24;56;28;56
8,3625;8,3875;23;47;26;51
8,375;8,4;24;58;30;62
8,3875;8,4125;26;60;32;59
8,4;8,425;26;57;30;47
8,4125;8,4375;22;52;27;52
8,425;8,45;22;51;30;59
8,4375;8,4625;22;59;30;58
8,45;8,475;22;67;28;62
8,4625;8,4875;22;66;34;74
8,475;8,5;22;63;30;70
8,4875;8,5125;22;61;24;62
8,5;8,525;22;66;24;62
8,5125;8,5375;24;69;24;69
8,525;8,55;26;60;26;74
8,5375;8,5625;24;61;26;74
8,55;8,575;22;66;26;82
8,5625;8,5875;22;67;26;69
8,575;8,6;24;56;26;54
8,5875;8,6125;26;49;22;49
8,6;8,625;21;62;19;54
8,6125;8,6375;19;55;21;53
8,625;8,65;22;48;22;48
8,6375;8,6625;23;59;21;54
8,65;8,675;26;57;22;63
8,6625;8,6875;27;48;27;57
8,675;8,7;26;57;28;61
8,6875;8,7125;26;60;26;70
8,7;8,725;26;62;28;69
8,7125;8,7375;24;59;23;63
8,725;8,75;26;54;22;63
8,7375;8,7625;24;57;24;78
8,75;8,775;23;73;27;85
8,7625;8,7875;26;70;32;78
8,775;8,8;25;68;29;75
8,7875;8,8125;26;75;28;82
8,8;8,825;22;75;26;81
8,8125;8,8375;25;87;23;84
8,825;8,85;29;90;25;90
8,8375;8,8625;25;88;25;91
8,85;8,875;25;98;25;93
8,8625;8,8875;28;95;26;88
8,875;8,9;23;87;27;86
8,8875;8,9125;17;87;23;107
8,9;8,925;30;96;28;111
8,9125;8,9375;30;100;30;95
8,925;8,95;20;87;20;85
8,9375;8,9625;21;88;21;92
8,95;8,975;23;94;23;104
8,9625;8,9875;20;105;20;100
8,975;9;17;107;21;101
8,9875;9,0125;18;92;25;89
9;9,025;18;93;24;87
9,0125;9,0375;19;107;21;107
9,025;9,05;21;104;29;112
9,0375;9,0625;22;108;29;108
9,05;9,075;22;117;29;104
9,0625;9,0875;29;106;31;93
9,075;9,1;29;91;28;87
9,0875;9,1125;23;92;23;86
9,1;9,125;28;104;25;78
9,1125;9,1375;28;100;26;76
9,125;9,15;24;100;24;90
9,1375;9,1625;33;96;32;94
9,15;9,175;34;90;31;96
9,1625;9,1875;26;95;26;102
9,175;9,2;30;88;37;100
9,1875;9,2125;32;83;37;90
9,2;9,225;26;89;26;78
9,2125;9,2375;29;93;27;70
9,225;9,25;29;94;33;86
9,2375;9,2625;26;85;31;82
9,25;9,275;33;75;31;68
9,2625;9,2875;29;70;38;61
9,275;9,3;21;65;33;53
9,2875;9,3125;21;69;23;54
9,3;9,325;30;72;28;62
9,3125;9,3375;32;74;28;64
9,325;9,35;28;71;26;62
9,3375;9,3625;27;63;27;61
9,35;9,375;25;67;25;59
9,3625;9,3875;24;73;24;58
9,375;9,4;22;73;24;62
9,3875;9,4125;24;69;26;61
9,4;9,425;23;60;25;60
9,4125;9,4375;25;56;25;64
9,425;9,45;26;51;24;69
9,4375;9,4625;20;56;20;62
9,45;9,475;19;62;19;53
9,4625;9,4875;19;60;21;53
9,475;9,5;21;51;21;51
9,4875;9,5125;21;44;24;50
9,5;9,525;20;44;24;54
9,5125;9,5375;21;45;23;52
9,525;9,55;28;57;26;53
9,5375;9,5625;26;61;22;49
9,55;9,575;24;52;25;46
9,5625;9,5875;23;53;25;54
9,575;9,6;21;70;23;60
9,5875;9,6125;22;61;24;53
9,6;9,625;20;63;20;53
9,6125;9,6375;21;72;21;63
9,625;9,65;21;67;21;59
9,6375;9,6625;20;62;20;48
9,65;9,675;22;56;21;52
9,6625;9,6875;21;55;21;57
9,675;9,7;19;57;20;51
9,6875;9,7125;20;60;20;49
9,7;9,725;25;60;21;58
9,7125;9,7375;27;72;21;66
9,725;9,75;22;59;19;51
9,7375;9,7625;22;58;20;40
9,75;9,775;21;73;19;47
9,7625;9,7875;19;76;21;59
9,775;9,8;19;61;21;49
9,7875;9,8125;24;58;20;45
9,8;9,825;25;74;19;59
9,8125;9,8375;23;66;19;56
9,825;9,85;24;62;20;52
9,8375;9,8625;24;75;22;51
9,85;9,875;23;100;21;64
9,8625;9,8875;21;92;19;72
9,875;9,9;20;78;20;68
9,8875;9,9125;20;81;22;56
9,9;9,925;20;78;24;63
9,9125;9,9375;21;69;21;75
9,925;9,95;23;63;21;71
9,9375;9,9625;23;67;26;69
9,95;9,975;29;81;29;75
9,9625;9,9875;28;76;25;80
9,975;10;22;68;24;71
9,9875;10,0125;25;70;26;65
10;10,025;30;85;32;86
10,0125;10,0375;32;105;35;101
10,025;10,05;29;100;33;82
10,0375;10,0625;33;93;35;80
10,05;10,075;34;89;28;81
10,0625;10,0875;26;85;24;74
10,075;10,1;26;72;28;68
10,0875;10,1125;30;49;30;56
10,1;10,125;32;38;32;46
10,1125;10,1375;33;35;33;39
10,125;10,15;33;37;34;41
10,1375;10,1625;33;38;33;41
10,15;10,175;32;42;32;43
10,1625;10,1875;33;43;33;41
10,175;10,2;33;37;33;39
10,1875;10,2125;33;35;33;39
10,2;10,225;33;32;33;36
10,2125;10,2375;32;33;33;37
10,225;10,25;33;33;33;35
10,2375;10,2625;32;33;33;35
10,25;10,275;33;32;33;34
10,2625;10,2875;33;33;32;33
